feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1524	grade_category	High	-0.724597458183825	0.0122284922496512	44	14	0	0
X1545	grade_category	High	0.367173708858644	0.000766844558192438	44	30	0	0
X1542	grade_category	High	-0.152863831571812	0.00240342151571878	44	18	0	0
X1564	grade_category	High	-0.139591155292734	0.00104692372657664	44	34	0	0
X1526	grade_category	High	2.72476461128712	0.0084411589342037	44	17	0	0
X1528	grade_category	High	3.12942571606544	0.0226739848146145	44	14	0	0
X1466	grade_category	High	-1.14721471937712	0.00252579060419798	44	14	0	0
X1469	grade_category	High	-3.81459427043603	0.00525978896775717	44	13	0	0
X2016	grade_category	High	1.66998280399505	0.0077336978343202	44	23	0	0
X2037	grade_category	High	-1.40583547234978	0.00744904197297892	44	12	0	0
X2036	grade_category	High	-1.4154490652121	0.00629691125881649	44	19	0	0
X2048	grade_category	High	-0.882349310332197	0.00316390309543387	44	25	0	0
X1341	grade_category	High	2.61592196391587	0.0180638806995554	44	18	0	0
X2489	grade_category	High	-0.971593449126997	0.00333939335832558	44	13	0	0
X2483	grade_category	High	-0.145378769162791	0.00305251435898585	44	27	0	0
X2480	grade_category	High	-1.26285299994063	0.0101187469753133	44	13	0	0
X2476	grade_category	High	-0.303201493344498	0.00425884507609877	44	13	0	0
X9712	grade_category	High	-0.324837861428726	0.00158189743494997	44	40	0	0
X9649	grade_category	High	-0.781028965622279	0.00432034498560228	44	14	0	0
X9418	grade_category	High	1.05234344063049	0.00522791851555411	44	27	0	0
X13165	grade_category	High	0.331605627016094	0.00140151945638027	44	35	0	0
X9434	grade_category	High	-0.319162309584552	0.00558098442490988	44	26	0	0
X9467	grade_category	High	1.48393544366764	0.00210712246252721	44	31	0	0
X9450	grade_category	High	-0.465492682696989	0.0010506552808009	44	34	0	0
X9463	grade_category	High	0.702651947594064	0.00430695896497078	44	16	0	0
X9447	grade_category	High	0.133384071588936	0.00352199772306734	44	20	0	0
X19300	grade_category	High	2.5011779823963	0.0475224810935047	44	19	0	0
X5989	grade_category	High	-0.294286842428093	0.0042788405480999	44	14	0	0
X6067	grade_category	High	-0.881903869152577	0.00621922673844038	44	16	0	0
X8053	grade_category	High	2.77579906580565	0.0114535512544693	44	17	0	0
X8026	grade_category	High	2.32878609903281	0.0143120349232553	44	13	0	0
X8071	grade_category	High	0.814842358977271	0.00269180113347929	44	32	0	0
X8236	grade_category	High	1.31465674650796	0.00318693995440391	44	23	0	0
X7298	grade_category	High	-0.179692802306234	0.00413655302362652	44	21	0	0
X4481	grade_category	High	0.376464051157679	0.00800782487966787	44	16	0	0
X7281	grade_category	High	4.01344047209432	0.0686252319837444	44	13	0	0
