feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1524	glioma_progression_overall	Y	0.629407052643335	0.00672061257811606	93	45	0	0
X1524	glioma_idh_mutation	Mutant	0.47306403345021	0.00898741912092642	93	45	0	0
X1521	glioma_progression_overall	Y	0.807666786896171	0.0028722014329944	93	27	0	0
X1521	grade_category	High	2.62036512897628	0.00597178615465579	93	27	0	0
X1521	glioma_idh_mutation	Mutant	1.89640671925396	0.0033368384115213	93	27	0	0
X1545	glioma_progression_overall	Y	0.545914221585848	0.000440205022158975	93	68	0	0
X1545	age_at_surgery	age_at_surgery	0.0237399128711489	0.000215738180246354	93	68	0	0
X1545	grade_category	High	0.224651980326838	0.000674311474954766	93	68	0	0
X1543	glioma_progression_overall	Y	0.0761030410845507	0.00039532179564569	93	68	0	0
X1543	age_at_surgery	age_at_surgery	0.104065194714138	0.000207231498423368	93	68	0	0
X1543	grade_category	High	-0.138785037974795	0.00058087371069995	93	68	0	0
X1543	glioma_idh_mutation	Mutant	-0.11390587833976	0.000573973532326094	93	68	0	0
X1564	glioma_progression_overall	Y	0.286718916268285	0.000655316910850414	93	81	0	0
X1564	age_at_surgery	age_at_surgery	0.0988623031287294	0.000344094212371717	93	81	0	0
X1564	grade_category	High	0.195171559795214	0.000853404849430033	93	81	0	0
X1564	glioma_idh_mutation	Mutant	0.563769251375616	0.000851378687213762	93	81	0	0
X1699	glioma_progression_overall	Y	0.552549447848854	0.00370441391891131	93	25	0	0
X1699	age_at_surgery	age_at_surgery	-0.713816910377842	0.00181698123072404	93	25	0	0
X1699	grade_category	High	0.525570725550343	0.0054811095017503	93	25	0	0
X1699	glioma_idh_mutation	Mutant	-0.192426550750153	0.00437525876945002	93	25	0	0
X1464	glioma_progression_overall	Y	0.276559406337435	0.00210504330579951	93	27	0	0
X1464	age_at_surgery	age_at_surgery	-0.258600674107247	0.00112191765504846	93	27	0	0
X1464	grade_category	High	0.642367884189013	0.00276527598886142	93	27	0	0
X1464	glioma_idh_mutation	Mutant	0.557982739146391	0.00254477995557363	93	27	0	0
X1466	glioma_progression_overall	Y	0.147704290090097	0.00225293706684267	93	27	0	0
X1466	age_at_surgery	age_at_surgery	-0.119085844401252	0.00122040820894302	93	27	0	0
X1466	grade_category	High	-0.7219000676554	0.00267682849057566	93	27	0	0
X1466	glioma_idh_mutation	Mutant	0.482960178211145	0.00305627106490187	93	27	0	0
X2043	glioma_progression_overall	Y	0.0661212399895137	0.000761079407107724	93	65	0	0
X2043	age_at_surgery	age_at_surgery	-0.358063967350648	0.000399535118032021	93	65	0	0
X2043	grade_category	High	-1.13616558384078	0.00099693100229829	93	65	0	0
