feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X1965	grade_category	High	-0.235796886790018	0.000902472487648042	44	20	0	0
X1877	grade_category	High	0.0500030206591413	0.000519217819207122	44	28	0	0
X1862	grade_category	High	3.13970260299651	0.00162494679273176	44	14	0	0
X1858	grade_category	High	1.44850494623207	0.00282333631973683	44	12	0	0
X1844	grade_category	High	-1.18020930297598	0.000638234911932106	44	17	0	0
X1812	grade_category	High	-0.829532658603363	0.000385093006438372	44	21	0	0
X1786	grade_category	High	1.41906129389558	0.00368656118580116	44	12	0	0
X1790	grade_category	High	0.987134592932914	0.00117999271729635	44	30	0	0
X2295	grade_category	High	1.44260671967689	0.00191041592189971	44	27	0	0
X2301	grade_category	High	0.10531061791143	0.0011364777366865	44	25	0	0
X2303	grade_category	High	0.304116278701056	0.000518113362946864	44	28	0	0
X2318	grade_category	High	0.42612117850653	0.000582435566992568	44	30	0	0
X2290	grade_category	High	1.07652843690907	0.00210041705329513	44	20	0	0
X2325	grade_category	High	1.69255127553012	0.0041173908776619	44	14	0	0
X2328	grade_category	High	-0.407295738047429	0.00213316095955269	44	13	0	0
X9226	grade_category	High	-0.76528478967002	0.000673211032678119	44	18	0	0
X9712	grade_category	High	6.0651332435104	0.065859713481188	44	19	0	0
X9286	grade_category	High	-0.128289244196363	0.000839730175878618	44	15	0	0
X9262	grade_category	High	-0.569938471024488	0.00144144581901859	44	28	0	0
X15452	grade_category	High	-0.630697939007814	0.00116299526868679	44	30	0	0
X4046	grade_category	High	1.06811639986493	0.012161084477585	44	17	0	0
X4041	grade_category	High	0.135614966292474	0.00190057052969551	44	18	0	0
X6744	grade_category	High	-1.182428428985	0.0025396732006009	44	24	0	0
X6747	grade_category	High	-0.682271274189518	0.00813183461097439	44	13	0	0
X6846	grade_category	High	1.80297216658047	0.00707571022090539	44	16	0	0
X4348	grade_category	High	2.54590420931266	0.00243964163043242	44	34	0	0
X4285	grade_category	High	1.08038951881624	0.00131110892812766	44	13	0	0
X4121	grade_category	High	1.15584045732884	0.00710202620424674	44	25	0	0
X14851	grade_category	High	2.52748184807876	0.00515542097458804	44	14	0	0
X14890	grade_category	High	1.41147401853764	0.0100439797707678	44	16	0	0
X14894	grade_category	High	2.30626459415859	0.0149305977070268	44	16	0	0
X15286	grade_category	High	1.41129811063212	0.00109601359362829	44	30	0	0
X25416	grade_category	High	2.11425363978533	0.0249101362408157	44	15	0	0
X14963	grade_category	High	0.940709778583651	0.00430029936331397	44	24	0	0
X63327	grade_category	High	1.18980771551679	0.0181682706110895	44	18	0	0
X15350	grade_category	High	0.513415804896542	0.00503288969142572	44	16	0	0
X4198	grade_category	High	3.04078527281808	0.00479085799106183	44	17	0	0
X4262	grade_category	High	2.39081591723251	0.00352268285571415	44	15	0	0
X29305	grade_category	High	2.92796123614474	0.0541719944408458	44	14	0	0
X15254	grade_category	High	0.737965522595536	0.00204963405322425	44	16	0	0
X15124	grade_category	High	-0.186482823122387	0.00437731789541237	44	27	0	0
X15132	grade_category	High	-0.62777370661323	0.000878278751135248	44	35	0	0
X15120	grade_category	High	0.618999880141765	0.00218291787820639	44	26	0	0
X15234	grade_category	High	1.26903895709608	0.00219123886480284	44	14	0	0
X14027	grade_category	High	2.83565470245038	0.00982870376561366	44	12	0	0
X3813	grade_category	High	-0.661945431105996	0.00537688558957883	44	21	0	0
X5090	grade_category	High	3.4403761404502	0.00566946077066652	44	25	0	0
X4799	grade_category	High	-0.114389764813389	0.0010518235408486	44	37	0	0
X4815	grade_category	High	2.7618237976497	0.00888071760554505	44	27	0	0
X4831	grade_category	High	3.18577385555982	0.0119973864659038	44	16	0	0
X4826	grade_category	High	0.281318652946041	0.000813682556790807	44	32	0	0
X4820	grade_category	High	1.37218409473105	0.00118637900347845	44	37	0	0
X4677	grade_category	High	0.747726247772041	0.00314987754699083	44	20	0	0
X4868	grade_category	High	-0.805254022325231	0.000717708791587554	44	24	0	0
X4874	grade_category	High	1.02430847540359	0.0010208898265311	44	35	0	0
X4552	grade_category	High	2.32081211977382	0.00640206651144972	44	20	0	0
X4581	grade_category	High	0.866645629286937	0.00107561923647113	44	25	0	0
X4577	grade_category	High	-0.592454474032498	0.00112298397551502	44	26	0	0
X4617	grade_category	High	-0.625894397535962	0.00136125585127158	44	25	0	0
X4557	grade_category	High	3.97211926887081	0.00850718546900188	44	17	0	0
X4606	grade_category	High	-1.06181898894221	0.0021278454636532	44	22	0	0
X25493	grade_category	High	2.77802245186971	0.0272098970489135	44	12	0	0
X4652	grade_category	High	3.45992574138992	0.012546371660699	44	12	0	0
X4670	grade_category	High	3.98591149693699	0.0107614711481082	44	16	0	0
X4532	grade_category	High	1.39253820431424	0.00136644149114627	44	31	0	0
X4529	grade_category	High	-2.96365729967073	0.00297939863054852	44	12	0	0
X5075	grade_category	High	1.36409045009681	0.00185891619803935	44	15	0	0
X4936	grade_category	High	2.81907654521609	0.00623512453314158	44	23	0	0
X4940	grade_category	High	0.278937186833185	0.00203177161971543	44	26	0	0
X4925	grade_category	High	2.27425606868371	0.00179310958919088	44	22	0	0
X4959	grade_category	High	1.09628650840613	0.0024969796000187	44	22	0	0
X4910	grade_category	High	1.03683893249217	0.00240128185934262	44	19	0	0
X4993	grade_category	High	1.80171166392648	0.00564516197660852	44	22	0	0
X3958	grade_category	High	0.47224229511699	0.004519722663223	44	21	0	0
X6148	grade_category	High	1.91862755747082	0.00584763957856481	44	21	0	0
X5792	grade_category	High	-0.0798763853547025	0.00121209968254464	44	23	0	0
X6952	grade_category	High	-30.2948585289795	0.00257361125146141	44	14	0	0
X6939	grade_category	High	2.06023949053608	0.00798046738026144	44	19	0	0
X14341	grade_category	High	0.662932239225543	0.00494924481395983	44	15	0	0
X14807	grade_category	High	0.383628327189735	0.00615795411100247	44	17	0	0
X63101	grade_category	High	2.53787300771964	0.0253939088666018	44	14	0	0
X14797	grade_category	High	0.30579343896735	0.0032430672940168	44	29	0	0
